Expert_ID,Q_ID,SPP_ID,Q5th,Q50th,Q95th
5,1A,1,0,5,20
7,1A,1,0,10,100
9,1A,1,0,100,200
11,1A,1,10,40,100
13,1A,1,0,10,20
17,1A,1,0,1,50
1,1A,2,1600,1700,1800
2,1A,2,1300,1400,1500
3,1A,2,500,550,607
4,1A,2,1200,1400,1600
5,1A,2,1300,1400,1450
6,1A,2,1200,1500,1600
7,1A,2,1300,1400,1500
8,1A,2,850,1000,1400
9,1A,2,1400,1600,1650
10,1A,2,1200,1400,1600
11,1A,2,1200,1400,1500
12,1A,2,1400,1550,1700
13,1A,2,1350,1400,1500
14,1A,2,600,1000,1100
16,1A,2,1350,1450,1600
17,1A,2,1300,1440,1500
1,1A,3,500,700,800
2,1A,3,100,150,200
3,1A,3,150,250,600
4,1A,3,100,150,300
5,1A,3,100,150,300
6,1A,3,50,200,200
8,1A,3,100,150,300
9,1A,3,800,900,1000
10,1A,3,50,150,200
11,1A,3,150,250,400
12,1A,3,100,150,250
13,1A,3,100,150,200
16,1A,3,100,150,180
3,1A,4,800,850,1000
4,1A,4,1050,1150,1200
5,1A,4,800,900,1100
6,1A,4,500,650,1000
8,1A,4,400,500,600
9,1A,4,800,1000,1200
13,1A,4,0,10,20
1,1A,5,900,1200,1300
2,1A,5,0,15,50
3,1A,5,1000,1100,1800
4,1A,5,0,750,1000
5,1A,5,0,5,10
6,1A,5,0,500,1000
7,1A,5,0,0,100
8,1A,5,800,1000,1200
9,1A,5,700,800,1000
10,1A,5,0,500,1000
11,1A,5,50,900,1000
12,1A,5,1,100,500
13,1A,5,0,10,50
14,1A,5,0,5,20
15,1A,5,5,17.5,30
16,1A,5,10,50,500
17,1A,5,10,11,50
3,1A,6,1500,1550,1800
4,1A,6,900,950,1000
5,1A,6,750,900,1500
6,1A,6,1000,1100,1200
8,1A,6,800,900,1000
9,1A,6,700,1000,1100
1,1A,7,400,600,700
2,1A,7,5,30,50
3,1A,7,0,100,1100
4,1A,7,0,1000,1100
5,1A,7,0,20,100
6,1A,7,0,10,100
7,1A,7,0,0,100
8,1A,7,0,25,100
9,1A,7,0,100,200
10,1A,7,0,10,100
11,1A,7,50,100,400
12,1A,7,1,5,10
13,1A,7,10,25,100
14,1A,7,0,50,800
16,1A,7,5,10,50
17,1A,7,5,20,100
1,1A,8,800,900,1000
2,1A,8,600,900,1200
3,1A,8,800,1400,1600
4,1A,8,1000,1150,1300
5,1A,8,600,800,900
6,1A,8,800,1000,1200
7,1A,8,600,800,900
8,1A,8,800,1100,1200
9,1A,8,1000,1100,1200
10,1A,8,900,1000,1200
11,1A,8,750,900,1200
12,1A,8,800,950,1100
13,1A,8,800,1000,1200
14,1A,8,600,800,1100
15,1A,8,900,1825,2750
16,1A,8,800,900,950
17,1A,8,600,800,900
5,1A,9,0,20,50
7,1A,9,0,0,50
9,1A,9,50,100,200
11,1A,9,10,100,150
17,1A,9,50,100,200
1,1A,10,1000,1050,1200
2,1A,10,1400,1700,1800
3,1A,10,800,900,1500
4,1A,10,900,1050,1100
5,1A,10,1000,1050,1100
6,1A,10,700,1200,1400
7,1A,10,1500,1600,1700
8,1A,10,850,950,1100
9,1A,10,1000,1050,1100
10,1A,10,1000,1200,1300
11,1A,10,1500,1650,1750
12,1A,10,900,1000,1100
13,1A,10,900,1050,2000
14,1A,10,500,1200,1700
16,1A,10,1000,1030,1080
17,1A,10,1600,1710,1850
1,1A,12,960,1050,1100
2,1A,12,960,1000,1100
3,1A,12,700,800,1300
4,1A,12,800,825,950
5,1A,12,700,800,900
6,1A,12,900,960,1000
7,1A,12,750,950,1050
8,1A,12,700,800,1100
9,1A,12,800,900,1000
10,1A,12,900,960,1000
11,1A,12,700,950,1000
12,1A,12,900,960,1050
13,1A,12,800,900,1000
14,1A,12,700,960,1050
16,1A,12,800,980,1000
17,1A,12,800,960,1100
5,1A,14,0,1,10
7,1A,14,0,0,50
9,1A,14,1000,1100,1200
11,1A,14,10,20,50
13,1A,14,0,5,10
17,1A,14,0,1,100
1,1A,15,500,700,1000
2,1A,15,400,450,500
3,1A,15,500,600,1100
4,1A,15,700,770,950
5,1A,15,450,550,700
6,1A,15,500,550,700
